level1_title,level2_title,level3_title,level4_title,level1_code,level2_code,level3_code,level4_code
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Nonmetallic mineral mining and quarrying,"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying",21,212,2123,21232
"Mining, quarrying, and oil and gas extraction",Mining (except oil and gas),Nonmetallic mineral mining and quarrying,Other nonmetallic mineral mining and quarrying,21,212,2123,21239
"Mining, quarrying, and oil and gas extraction",Support activities for mining,Support activities for mining,Support activities for mining,21,213,2131,21311
Utilities,Utilities,"Electric power generation, transmission and distribution",Electric power generation,22,221,2211,22111
Utilities,Utilities,"Electric power generation, transmission and distribution","Electric power transmission, control, and distribution",22,221,2211,22112
Utilities,Utilities,Natural gas distribution,Natural gas distribution,22,221,2212,22121
Utilities,Utilities,"Water, sewage and other systems",Water supply and irrigation systems,22,221,2213,22131
Utilities,Utilities,"Water, sewage and other systems",Sewage treatment facilities,22,221,2213,22132
Utilities,Utilities,"Water, sewage and other systems",Steam and air-conditioning supply,22,221,2213,22133
Construction,Construction of buildings,Residential building construction,Residential building construction,23,236,2361,23611
Construction,Construction of buildings,Nonresidential building construction,Industrial building construction,23,236,2362,23621
Construction,Construction of buildings,Nonresidential building construction,Commercial and institutional building construction,23,236,2362,23622
Construction,Heavy and civil engineering construction,Utility system construction,Water and sewer line and related structures construction,23,237,2371,23711
Construction,Heavy and civil engineering construction,Utility system construction,Oil and gas pipeline and related structures construction,23,237,2371,23712
Construction,Heavy and civil engineering construction,Utility system construction,Power and communication line and related structures construction,23,237,2371,23713
Construction,Heavy and civil engineering construction,Land subdivision,Land subdivision,23,237,2372,23721
Construction,Heavy and civil engineering construction,"Highway, street, and bridge construction","Highway, street, and bridge construction",23,237,2373,23731
Construction,Heavy and civil engineering construction,Other heavy and civil engineering construction,Other heavy and civil engineering construction,23,237,2379,23799
Construction,Specialty trade contractors,Building foundation and exterior contractors,Poured concrete structure contractors,23,238,2381,23811
Construction,Specialty trade contractors,Building foundation and exterior contractors,Steel and precast concrete contractors,23,238,2381,23812
Construction,Specialty trade contractors,Building foundation and exterior contractors,Framing contractors,23,238,2381,23813
Construction,Specialty trade contractors,Building foundation and exterior contractors,Masonry contractors,23,238,2381,23814
Construction,Specialty trade contractors,Building foundation and exterior contractors,Glass and glazing contractors,23,238,2381,23815
Construction,Specialty trade contractors,Building foundation and exterior contractors,Roofing contractors,23,238,2381,23816
Construction,Specialty trade contractors,Building foundation and exterior contractors,Siding contractors,23,238,2381,23817
Construction,Specialty trade contractors,Building foundation and exterior contractors,Other building exterior contractors,23,238,2381,23819
Construction,Specialty trade contractors,Building equipment contractors,Electrical and wiring contractors,23,238,2382,23821
Construction,Specialty trade contractors,Building equipment contractors,Plumbing and hvac contractors,23,238,2382,23822
Construction,Specialty trade contractors,Building equipment contractors,Other building equipment contractors,23,238,2382,23829
Construction,Specialty trade contractors,Building finishing contractors,Drywall and insulation contractors,23,238,2383,23831
Construction,Specialty trade contractors,Building finishing contractors,Painting and wall covering contractors,23,238,2383,23832
Construction,Specialty trade contractors,Building finishing contractors,Flooring contractors,23,238,2383,23833
Construction,Specialty trade contractors,Building finishing contractors,Tile and terrazzo contractors,23,238,2383,23834
Construction,Specialty trade contractors,Building finishing contractors,Finish carpentry contractors,23,238,2383,23835
Construction,Specialty trade contractors,Building finishing contractors,Other building finishing contractors,23,238,2383,23839
Construction,Specialty trade contractors,Other specialty trade contractors,Site preparation contractors,23,238,2389,23891
Construction,Specialty trade contractors,Other specialty trade contractors,All other specialty trade contractors,23,238,2389,23899
NA,Food manufacturing,Animal food manufacturing,Animal food manufacturing,31,311,3111,31111
NA,Food manufacturing,Grain and oilseed milling,Flour milling and malt manufacturing,31,311,3112,31121
NA,Food manufacturing,Grain and oilseed milling,Starch and vegetable fats and oils manufacturing,31,311,3112,31122
NA,Food manufacturing,Grain and oilseed milling,Breakfast cereal manufacturing,31,311,3112,31123
NA,Food manufacturing,Sugar and confectionery product manufacturing,Sugar manufacturing,31,311,3113,31131
NA,Food manufacturing,Sugar and confectionery product manufacturing,07  Confectionery manufacturing from cacao beans,31,311,3113,31132
NA,Food manufacturing,Sugar and confectionery product manufacturing,07  Confectionery mfg. from purchased chocolate,31,311,3113,31133
NA,Food manufacturing,Sugar and confectionery product manufacturing,Nonchocolate confectionery manufacturing,31,311,3113,31134
NA,Food manufacturing,Sugar and confectionery product manufacturing,Chocolate and confectionery manufacturing,31,311,3113,31135
NA,Food manufacturing,Fruit and vegetable preserving and specialty food manufacturing,Frozen food manufacturing,31,311,3114,31141
NA,Food manufacturing,Fruit and vegetable preserving and specialty food manufacturing,"Fruit and vegetable canning, pickling, and drying",31,311,3114,31142
NA,Food manufacturing,Dairy product manufacturing,Dairy product (except frozen) manufacturing,31,311,3115,31151
NA,Food manufacturing,Dairy product manufacturing,Ice cream and frozen dessert manufacturing,31,311,3115,31152
NA,Food manufacturing,Animal slaughtering and processing,Animal slaughtering and processing,31,311,3116,31161
NA,Food manufacturing,Seafood product preparation and packaging,Seafood product preparation and packaging,31,311,3117,31171
NA,Food manufacturing,Bakeries and tortilla manufacturing,Bread and bakery product manufacturing,31,311,3118,31181
NA,Food manufacturing,Bakeries and tortilla manufacturing,"Cookie, cracker, and pasta manufacturing",31,311,3118,31182
NA,Food manufacturing,Bakeries and tortilla manufacturing,Tortilla manufacturing,31,311,3118,31183
NA,Food manufacturing,Other food manufacturing,Snack food manufacturing,31,311,3119,31191
NA,Food manufacturing,Other food manufacturing,Coffee and tea manufacturing,31,311,3119,31192
NA,Food manufacturing,Other food manufacturing,Flavoring syrup and concentrate manufacturing,31,311,3119,31193
NA,Food manufacturing,Other food manufacturing,Seasoning and dressing manufacturing,31,311,3119,31194
NA,Food manufacturing,Other food manufacturing,All other food manufacturing,31,311,3119,31199
NA,Beverage and tobacco product manufacturing,Beverage manufacturing,Soft drink and ice manufacturing,31,312,3121,31211
NA,Beverage and tobacco product manufacturing,Beverage manufacturing,Breweries,31,312,3121,31212
NA,Beverage and tobacco product manufacturing,Beverage manufacturing,Wineries,31,312,3121,31213
NA,Beverage and tobacco product manufacturing,Beverage manufacturing,Distilleries,31,312,3121,31214
NA,Beverage and tobacco product manufacturing,Tobacco manufacturing,07  Tobacco stemming and redrying,31,312,3122,31221
NA,Beverage and tobacco product manufacturing,Tobacco manufacturing,07  Tobacco product manufacturing,31,312,3122,31222
NA,Beverage and tobacco product manufacturing,Tobacco manufacturing,Tobacco manufacturing,31,312,3122,31223
NA,Textile mills,"Fiber, yarn, and thread mills","Fiber, yarn, and thread mills",31,313,3131,31311
NA,Textile mills,Fabric mills,Broadwoven fabric mills,31,313,3132,31321
NA,Textile mills,Fabric mills,Narrow fabric mills and schiffli machine embroidery,31,313,3132,31322
NA,Textile mills,Fabric mills,Nonwoven fabric mills,31,313,3132,31323
NA,Textile mills,Fabric mills,Knit fabric mills,31,313,3132,31324
NA,NA,NA,Manufacturing,31,31-,31-3,31-33
NA,Textile mills,Textile and fabric finishing and fabric coating mills,Textile and fabric finishing mills,31,313,3133,31331
NA,Textile mills,Textile and fabric finishing and fabric coating mills,Fabric coating mills,31,313,3133,31332
NA,Textile product mills,Textile furnishings mills,Carpet and rug mills,31,314,3141,31411
NA,Textile product mills,Textile furnishings mills,Curtain and linen mills,31,314,3141,31412
NA,Textile product mills,Other textile product mills,Textile bag and canvas mills,31,314,3149,31491
NA,Textile product mills,Other textile product mills,All other textile product mills,31,314,3149,31499
NA,Apparel manufacturing,Apparel knitting mills,17  Hosiery and sock mills,31,315,3151,31511
NA,Apparel manufacturing,Apparel knitting mills,Apparel knitting mills,31,315,3151,31512
NA,Apparel manufacturing,Apparel knitting mills,17  Other apparel knitting mills,31,315,3151,31519
NA,Apparel manufacturing,Cut and sew apparel manufacturing,Cut and sew apparel contractors,31,315,3152,31521
NA,Apparel manufacturing,Cut and sew apparel manufacturing,17  Men's and boys' cut and sew apparel mfg.,31,315,3152,31522
NA,Apparel manufacturing,Cut and sew apparel manufacturing,07  Women's and girls' cut and sew apparel mfg.,31,315,3152,31523
NA,Apparel manufacturing,Cut and sew apparel manufacturing,"17  Women's, girls', infants' cut-sew apparel mfg.",31,315,3152,31524
NA,Apparel manufacturing,Cut and sew apparel manufacturing,Cut and sew apparel manufacturing (except contractors),31,315,3152,31525
NA,Apparel manufacturing,Cut and sew apparel manufacturing,17  Other cut and sew apparel manufacturing,31,315,3152,31528
NA,Apparel manufacturing,Cut and sew apparel manufacturing,07  Other cut and sew apparel manufacturing,31,315,3152,31529
NA,Apparel manufacturing,Apparel accessories and other apparel manufacturing,Apparel accessories and other apparel manufacturing,31,315,3159,31599
NA,Leather and allied product manufacturing,Leather and hide tanning and finishing,Leather and hide tanning and finishing,31,316,3161,31611
NA,Leather and allied product manufacturing,Footwear manufacturing,Footwear manufacturing,31,316,3162,31621
NA,Leather and allied product manufacturing,Other leather and allied product manufacturing,Other leather and allied product manufacturing,31,316,3169,31699
NA,Wood product manufacturing,Sawmills and wood preservation,Sawmills and wood preservation,32,321,3211,32111
NA,Wood product manufacturing,"Veneer, plywood, and engineered wood product manufacturing","Veneer, plywood, and engineered wood product manufacturing",32,321,3212,32121
NA,Wood product manufacturing,Other wood product manufacturing,Millwork,32,321,3219,32191
NA,Wood product manufacturing,Other wood product manufacturing,Wood container and pallet manufacturing,32,321,3219,32192
NA,Wood product manufacturing,Other wood product manufacturing,All other wood product manufacturing,32,321,3219,32199
NA,Paper manufacturing,"Pulp, paper, and paperboard mills",Pulp mills,32,322,3221,32211
NA,Paper manufacturing,"Pulp, paper, and paperboard mills",Paper mills,32,322,3221,32212
NA,Paper manufacturing,"Pulp, paper, and paperboard mills",Paperboard mills,32,322,3221,32213
NA,Paper manufacturing,Converted paper product manufacturing,Paperboard container manufacturing,32,322,3222,32221
NA,Paper manufacturing,Converted paper product manufacturing,Paper bag and coated and treated paper manufacturing,32,322,3222,32222
NA,Paper manufacturing,Converted paper product manufacturing,Stationery product manufacturing,32,322,3222,32223
NA,Paper manufacturing,Converted paper product manufacturing,Other converted paper product manufacturing,32,322,3222,32229
NA,Printing and related support activities,Printing and related support activities,Printing,32,323,3231,32311
NA,Printing and related support activities,Printing and related support activities,Support activities for printing,32,323,3231,32312
NA,Petroleum and coal products manufacturing,Petroleum and coal products manufacturing,Petroleum refineries,32,324,3241,32411
NA,Petroleum and coal products manufacturing,Petroleum and coal products manufacturing,"Asphalt paving, roofing, and saturated materials manufacturing",32,324,3241,32412
NA,Petroleum and coal products manufacturing,Petroleum and coal products manufacturing,Other petroleum and coal products manufacturing,32,324,3241,32419
NA,Chemical manufacturing,Basic chemical manufacturing,Petrochemical manufacturing,32,325,3251,32511
NA,Chemical manufacturing,Basic chemical manufacturing,Industrial gas manufacturing,32,325,3251,32512
NA,Chemical manufacturing,Basic chemical manufacturing,Synthetic dye and pigment manufacturing,32,325,3251,32513
NA,Chemical manufacturing,Basic chemical manufacturing,Other basic inorganic chemical manufacturing,32,325,3251,32518
NA,Chemical manufacturing,Basic chemical manufacturing,Other basic organic chemical manufacturing,32,325,3251,32519
NA,Chemical manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",Resin and synthetic rubber manufacturing,32,325,3252,32521
NA,Chemical manufacturing,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",Artificial and synthetic fibers and filaments manufacturing,32,325,3252,32522
NA,Chemical manufacturing,"Pesticide, fertilizer, and other agricultural chemical manufacturing",Fertilizer and compost manufacturing,32,325,3253,32531
NA,Chemical manufacturing,"Pesticide, fertilizer, and other agricultural chemical manufacturing",Pesticide and other agricultural chemical manufacturing,32,325,3253,32532
NA,Chemical manufacturing,Pharmaceutical and medicine manufacturing,Pharmaceutical and medicine manufacturing,32,325,3254,32541
NA,Chemical manufacturing,"Paint, coating, and adhesive manufacturing",Paint and coating manufacturing,32,325,3255,32551
NA,Chemical manufacturing,"Paint, coating, and adhesive manufacturing",Adhesive manufacturing,32,325,3255,32552
NA,Chemical manufacturing,"Soap, cleaning compound, and toilet preparation manufacturing",Soap and cleaning compound manufacturing,32,325,3256,32561
NA,Chemical manufacturing,"Soap, cleaning compound, and toilet preparation manufacturing",Toilet preparation manufacturing,32,325,3256,32562
NA,Chemical manufacturing,Other chemical product and preparation manufacturing,Printing ink manufacturing,32,325,3259,32591
NA,Chemical manufacturing,Other chemical product and preparation manufacturing,Explosives manufacturing,32,325,3259,32592
NA,Chemical manufacturing,Other chemical product and preparation manufacturing,All other chemical product and preparation manufacturing,32,325,3259,32599
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,Plastics packaging materials and unlaminated film and sheet manufacturing,32,326,3261,32611
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,"Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing",32,326,3261,32612
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,"Laminated plastics plate, sheet (except packaging), and shape manufacturing",32,326,3261,32613
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,Polystyrene foam product manufacturing,32,326,3261,32614
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,Urethane and other foam product (except polystyrene) manufacturing,32,326,3261,32615
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,Plastics bottle manufacturing,32,326,3261,32616
NA,Plastics and rubber products manufacturing,Plastics product manufacturing,Other plastics product manufacturing,32,326,3261,32619
NA,Plastics and rubber products manufacturing,Rubber product manufacturing,Tire manufacturing,32,326,3262,32621
NA,Plastics and rubber products manufacturing,Rubber product manufacturing,Rubber and plastics hoses and belting manufacturing,32,326,3262,32622
NA,Plastics and rubber products manufacturing,Rubber product manufacturing,Other rubber product manufacturing,32,326,3262,32629
NA,Nonmetallic mineral product manufacturing,Clay product and refractory manufacturing,"Pottery, ceramics, and plumbing fixture manufacturing",32,327,3271,32711
NA,Nonmetallic mineral product manufacturing,Clay product and refractory manufacturing,Clay building material and refractories manufacturing,32,327,3271,32712
NA,Nonmetallic mineral product manufacturing,Glass and glass product manufacturing,Glass and glass product manufacturing,32,327,3272,32721
NA,Nonmetallic mineral product manufacturing,Cement and concrete product manufacturing,Cement manufacturing,32,327,3273,32731
NA,Nonmetallic mineral product manufacturing,Cement and concrete product manufacturing,Ready-mix concrete manufacturing,32,327,3273,32732
NA,Nonmetallic mineral product manufacturing,Cement and concrete product manufacturing,"Concrete pipe, brick, and block manufacturing",32,327,3273,32733
NA,Nonmetallic mineral product manufacturing,Cement and concrete product manufacturing,Other concrete product manufacturing,32,327,3273,32739
NA,Nonmetallic mineral product manufacturing,Lime and gypsum product manufacturing,Lime manufacturing,32,327,3274,32741
NA,Nonmetallic mineral product manufacturing,Lime and gypsum product manufacturing,Gypsum product manufacturing,32,327,3274,32742
NA,Nonmetallic mineral product manufacturing,Other nonmetallic mineral product manufacturing,Abrasive product manufacturing,32,327,3279,32791
NA,Nonmetallic mineral product manufacturing,Other nonmetallic mineral product manufacturing,All other nonmetallic mineral product manufacturing,32,327,3279,32799
NA,Primary metal manufacturing,Iron and steel mills and ferroalloy manufacturing,Iron and steel mills and ferroalloy manufacturing,33,331,3311,33111
NA,Primary metal manufacturing,Steel product manufacturing from purchased steel,Iron and steel pipe and tube manufacturing from purchased steel,33,331,3312,33121
NA,Primary metal manufacturing,Steel product manufacturing from purchased steel,Rolling and drawing of purchased steel,33,331,3312,33122
NA,Primary metal manufacturing,Alumina and aluminum production and processing,Alumina and aluminum production and processing,33,331,3313,33131
NA,Primary metal manufacturing,Nonferrous metal (except aluminum) production and processing,Nonferrous metal (except aluminum) smelting and refining,33,331,3314,33141
NA,Primary metal manufacturing,Nonferrous metal (except aluminum) production and processing,"Copper rolling, drawing, extruding, and alloying",33,331,3314,33142
NA,Primary metal manufacturing,Nonferrous metal (except aluminum) production and processing,"Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying",33,331,3314,33149
NA,Primary metal manufacturing,Foundries,Ferrous metal foundries,33,331,3315,33151
NA,Primary metal manufacturing,Foundries,Nonferrous metal foundries,33,331,3315,33152
NA,Fabricated metal product manufacturing,Forging and stamping,Forging and stamping,33,332,3321,33211
NA,Fabricated metal product manufacturing,Cutlery and handtool manufacturing,Cutlery and handtool manufacturing,33,332,3322,33221
NA,Fabricated metal product manufacturing,Architectural and structural metals manufacturing,Plate work and fabricated structural product manufacturing,33,332,3323,33231
NA,Fabricated metal product manufacturing,Architectural and structural metals manufacturing,Ornamental and architectural metal products manufacturing,33,332,3323,33232
NA,Fabricated metal product manufacturing,"Boiler, tank, and shipping container manufacturing",Power boiler and heat exchanger manufacturing,33,332,3324,33241
NA,Fabricated metal product manufacturing,"Boiler, tank, and shipping container manufacturing",Metal tank (heavy gauge) manufacturing,33,332,3324,33242
NA,Fabricated metal product manufacturing,"Boiler, tank, and shipping container manufacturing","Metal can, box, and other metal container (light gauge) manufacturing",33,332,3324,33243
NA,Fabricated metal product manufacturing,Hardware manufacturing,Hardware manufacturing,33,332,3325,33251
NA,Fabricated metal product manufacturing,Spring and wire product manufacturing,Spring and wire product manufacturing,33,332,3326,33261
NA,Fabricated metal product manufacturing,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Machine shops,33,332,3327,33271
NA,Fabricated metal product manufacturing,"Machine shops; turned product; and screw, nut, and bolt manufacturing","Turned product and screw, nut, and bolt manufacturing",33,332,3327,33272
NA,Fabricated metal product manufacturing,"Coating, engraving, heat treating, and allied activities","Coating, engraving, heat treating, and allied activities",33,332,3328,33281
NA,Fabricated metal product manufacturing,Other fabricated metal product manufacturing,Metal valve manufacturing,33,332,3329,33291
NA,Fabricated metal product manufacturing,Other fabricated metal product manufacturing,All other fabricated metal product manufacturing,33,332,3329,33299
NA,Machinery manufacturing,"Agriculture, construction, and mining machinery manufacturing",Agricultural implement manufacturing,33,333,3331,33311
NA,Machinery manufacturing,"Agriculture, construction, and mining machinery manufacturing",Construction machinery manufacturing,33,333,3331,33312
NA,Machinery manufacturing,"Agriculture, construction, and mining machinery manufacturing",Mining and oil and gas field machinery manufacturing,33,333,3331,33313
NA,Machinery manufacturing,Industrial machinery manufacturing,07  Sawmill and woodworking machinery,33,333,3332,33321
NA,Machinery manufacturing,Industrial machinery manufacturing,07  Plastics and rubber industry machinery,33,333,3332,33322
NA,Machinery manufacturing,Industrial machinery manufacturing,Industrial machinery manufacturing,33,333,3332,33324
NA,Machinery manufacturing,Industrial machinery manufacturing,07  Other industrial machinery manufacturing,33,333,3332,33329
NA,Machinery manufacturing,Commercial and service industry machinery manufacturing,Commercial and service industry machinery manufacturing,33,333,3333,33331
NA,Machinery manufacturing,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing","Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",33,333,3334,33341
NA,Machinery manufacturing,Metalworking machinery manufacturing,Metalworking machinery manufacturing,33,333,3335,33351
NA,Machinery manufacturing,"Engine, turbine, and power transmission equipment manufacturing","Engine, turbine, and power transmission equipment manufacturing",33,333,3336,33361
NA,Machinery manufacturing,Other general purpose machinery manufacturing,Pump and compressor manufacturing,33,333,3339,33391
NA,Machinery manufacturing,Other general purpose machinery manufacturing,Material handling equipment manufacturing,33,333,3339,33392
NA,Machinery manufacturing,Other general purpose machinery manufacturing,All other general purpose machinery manufacturing,33,333,3339,33399
NA,Computer and electronic product manufacturing,Computer and peripheral equipment manufacturing,Computer and peripheral equipment manufacturing,33,334,3341,33411
NA,Computer and electronic product manufacturing,Communications equipment manufacturing,Telephone apparatus manufacturing,33,334,3342,33421
NA,Computer and electronic product manufacturing,Communications equipment manufacturing,Radio and television broadcasting and wireless communications equipment manufacturing,33,334,3342,33422
NA,Computer and electronic product manufacturing,Communications equipment manufacturing,Other communications equipment manufacturing,33,334,3342,33429
NA,Computer and electronic product manufacturing,Audio and video equipment manufacturing,Audio and video equipment manufacturing,33,334,3343,33431
NA,Computer and electronic product manufacturing,Semiconductor and other electronic component manufacturing,Semiconductor and other electronic component manufacturing,33,334,3344,33441
NA,Computer and electronic product manufacturing,"Navigational, measuring, electromedical, and control instruments manufacturing","Navigational, measuring, electromedical, and control instruments manufacturing",33,334,3345,33451
NA,Computer and electronic product manufacturing,Manufacturing and reproducing magnetic and optical media,Manufacturing and reproducing magnetic and optical media,33,334,3346,33461
NA,"Electrical equipment, appliance, and component manufacturing",Electric lighting equipment manufacturing,17  Electric lamp bulb and part manufacturing,33,335,3351,33511
NA,"Electrical equipment, appliance, and component manufacturing",Electric lighting equipment manufacturing,17  Lighting fixture manufacturing,33,335,3351,33512
NA,"Electrical equipment, appliance, and component manufacturing",Electric lighting equipment manufacturing,Electric lighting equipment manufacturing,33,335,3351,33513
NA,"Electrical equipment, appliance, and component manufacturing",Household appliance manufacturing,Small electrical appliance manufacturing,33,335,3352,33521
NA,"Electrical equipment, appliance, and component manufacturing",Household appliance manufacturing,Major household appliance manufacturing,33,335,3352,33522
NA,"Electrical equipment, appliance, and component manufacturing",Electrical equipment manufacturing,Electrical equipment manufacturing,33,335,3353,33531
NA,"Electrical equipment, appliance, and component manufacturing",Other electrical equipment and component manufacturing,Battery manufacturing,33,335,3359,33591
NA,"Electrical equipment, appliance, and component manufacturing",Other electrical equipment and component manufacturing,Communication and energy wire and cable manufacturing,33,335,3359,33592
NA,"Electrical equipment, appliance, and component manufacturing",Other electrical equipment and component manufacturing,Wiring device manufacturing,33,335,3359,33593
NA,"Electrical equipment, appliance, and component manufacturing",Other electrical equipment and component manufacturing,All other electrical equipment and component manufacturing,33,335,3359,33599
NA,Transportation equipment manufacturing,Motor vehicle manufacturing,Automobile and light duty motor vehicle manufacturing,33,336,3361,33611
NA,Transportation equipment manufacturing,Motor vehicle manufacturing,Heavy duty truck manufacturing,33,336,3361,33612
NA,Transportation equipment manufacturing,Motor vehicle body and trailer manufacturing,Motor vehicle body and trailer manufacturing,33,336,3362,33621
NA,Transportation equipment manufacturing,Motor vehicle parts manufacturing,Motor vehicle gasoline engine and engine parts manufacturing,33,336,3363,33631
